ParticipantID,UniqueID,ScenarioName,Week,identified_Target,identified_Decoy,not_identified_Target,not_identified_Decoy,accuracy,drive_validity
3110004,1650312197,"Load, No Event",2,6,0,0,12,1.0,valid
3110004,1649709,"Load, Event",1,13,1,0,14,0.9642857142857143,valid
3110004,1650918267,"Load, Event",3,13,0,0,14,1.0,valid
3110004,1650313360,"Load, Event",2,14,1,0,12,0.9629629629629629,valid
3110004,1649709851,"Load, No Event",1,7,0,0,7,1.0,valid
3110004,1650917195,"Load, No Event",3,12,1,0,10,0.9565217391304348,valid
3110004,1651521887,"Load, Event",4,6,0,0,12,1.0,valid
3110006,1665842257,"Load, Event",2,13,2,1,11,0.8888888888888888,valid
3110006,1665005437,"Load, Event",1,13,0,0,14,1.0,valid
3110004,1651522392,"Load, No Event",4,15,0,0,15,1.0,valid
3110006,1665004760,"Load, No Event",1,12,2,3,11,0.8214285714285714,valid
3110006,16665,"Load, Event",3,14,0,1,15,0.9666666666666667,valid
3110007,1665853041,"Load, Event",2,14,0,0,13,1.0,valid
3110006,16665,"Load, No Event",3,3,,0,,,valid
3110007,1665237843,"Load, No Event",1,14,1,1,14,0.9333333333333333,valid
3110007,1665851567,"Load, No Event",2,1,0,0,4,1.0,valid
3110007,16652,"Load, Event",1,2,0,0,5,1.0,valid
3110007,1666731670,"Load, Event",3,15,0,0,15,1.0,valid
3110007,1666730247,"Load, No Event",3,1,,0,,,valid
3110008,1668702988,"Load, No Event",2,6,0,0,12,1.0,valid
3110008,1668013450,"Load, Event",1,12,0,1,14,0.9629629629629629,valid
3110008,1668012768,"Load, No Event",1,10,0,3,11,0.875,valid
3110008,1669495790,"Load, Event",3,15,0,0,15,1.0,valid
3110008,1669494476,"Load, No Event",3,15,0,0,15,1.0,valid
3120001,1646847721,"Load, No Event",1,7,0,0,9,1.0,valid
3120003,164919,"Load, Event",1,9,0,0,13,1.0,valid
3120002,1648049616,"Load, No Event",1,10,0,5,15,0.8333333333333334,valid
3120002,164804,"Load, Event",1,6,0,0,10,1.0,valid
3120003,1650410180,"Load, Event",3,2,0,0,1,1.0,valid
3120003,164979,"Load, Event",2,15,0,0,13,1.0,valid
3120003,1649795448,"Load, No Event",2,6,0,0,12,1.0,valid
3120003,1651085174,"Load, No Event",4,15,0,0,15,1.0,valid
3120003,16504,"Load, No Event",3,6,0,0,2,1.0,valid
3120003,1651084595,"Load, Event",4,4,0,0,11,1.0,valid
3120005,1662037971,"Load, Event",2,4,0,0,1,1.0,valid
3120005,1662036627,"Load, No Event",2,5,0,0,11,1.0,valid
3120005,1662642562,"Load, No Event",3,15,0,0,15,1.0,valid
3120005,1661265118,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3120005,1662643910,"Load, Event",3,13,0,0,14,1.0,valid
3120005,16612,"Load, Event",1,6,0,0,7,1.0,valid
3120010,1686153910,"Load, Event",1,0,0,13,14,0.5185185185185185,valid
3120010,1686153170,"Load, No Event",1,0,0,7,7,0.5,valid
3120010,1686865842,"Load, Event",2,14,0,1,13,0.9642857142857143,valid
3120010,1687363107,"Load, Event",3,1,,0,,,valid
3120010,1687361813,"Load, No Event",3,5,0,0,2,1.0,valid
3120010,1686854523,"Load, No Event",2,1,0,0,2,1.0,valid
3120010,1688062516,"Load, No Event",4,2,,0,,,valid
3120010,1688061871,"Load, Event",4,6,0,0,12,1.0,valid
3120011,1693331838,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3120011,1693948963,"Load, Event",2,14,0,0,13,1.0,valid
3120011,1693937641,"Load, No Event",2,6,0,0,12,1.0,valid
3120011,1693332514,"Load, Event",1,8,0,0,11,1.0,valid
3120011,1695750294,"Load, Event",4,6,0,0,12,1.0,valid
3120011,1694553313,"Load, Event",3,3,0,0,1,1.0,valid
3120011,1694542120,"Load, No Event",3,8,0,0,4,1.0,valid
3120011,1695750933,"Load, No Event",4,15,0,0,15,1.0,valid
3120011,1696356187,"Load, Event",5,7,0,0,10,1.0,valid
3120011,1696355511,"Load, No Event",5,15,0,0,15,1.0,valid
3120011,1696953218,"Load, No Event",6,3,,0,,,valid
3120012,1694110180,"Load, No Event",1,12,0,0,10,1.0,valid
3120012,1694110806,"Load, Event",1,12,0,1,14,0.9629629629629629,valid
3120012,1695413139,"Load, Event",3,3,0,0,1,1.0,valid
3120012,1694784316,"Load, No Event",2,6,0,0,12,1.0,valid
3120012,1695411946,"Load, No Event",3,4,0,0,1,1.0,valid
3120012,1696335139,"Load, Event",4,6,0,0,12,1.0,valid
3120012,1696335788,"Load, No Event",4,4,0,0,5,1.0,valid
3120012,1697133062,"Load, Event",5,8,0,0,10,1.0,valid
3120013,1694714084,"Load, Event",1,1,0,0,2,1.0,valid
3120013,1694713432,"Load, No Event",1,13,3,2,12,0.8333333333333334,valid
3120012,1697132467,"Load, No Event",5,15,0,0,15,1.0,valid
3120013,1695390379,"Load, No Event",2,6,0,0,12,1.0,valid
3120013,1696096853,"Load, Event",3,15,0,0,15,1.0,valid
3120013,1696095518,"Load, No Event",3,15,0,0,15,1.0,valid
3120013,1696536458,"Load, Event",4,6,0,0,12,1.0,valid
3210004,1645725515,"Load, Event",1,1,0,0,2,1.0,Stutter
3120013,1696537138,"Load, No Event",4,2,,0,,,valid
3210004,1645724943,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3210004,1646255316,"Load, Event",2,15,0,0,13,1.0,Stutter
3210004,1646254044,"Load, No Event",2,3,0,0,8,1.0,valid
3210004,1646862153,"Load, Event",3,15,0,0,15,1.0,valid
3210004,1646860939,"Load, No Event",3,8,0,0,5,1.0,valid
3210006,1646082364,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3210006,1646082962,"Load, Event",1,12,1,2,14,0.896551724137931,valid
3210006,1646766595,"Load, No Event",2,6,0,0,12,1.0,Stutter
3210007,1648583308,"Load, No Event",1,15,1,0,14,0.9666666666666667,valid
3210006,1647973650,"Load, No Event",3,15,1,0,14,0.9666666666666667,valid
3210008,1650296644,"Load, Event",1,1,0,0,5,1.0,valid
3210008,1650295947,"Load, No Event",1,14,0,1,15,0.9666666666666667,valid
3210008,1650901853,"Load, Event",2,1,,0,,,valid
3210009,1651004792,"Load, Event",1,6,0,0,9,1.0,valid
3210008,1651604433,"Load, Event",3,11,0,0,9,1.0,valid
3210009,1651004195,"Load, No Event",1,14,0,1,15,0.9666666666666667,valid
3210008,1651603298,"Load, No Event",3,15,0,0,15,1.0,valid
3210008,1650900560,"Load, No Event",2,6,1,0,11,0.9444444444444444,valid
3210009,1652912507,"Load, Event",3,15,0,0,15,1.0,valid
3210009,1652911443,"Load, No Event",3,15,0,0,15,1.0,valid
3210010,1663091635,"Load, Event",1,6,0,0,6,1.0,valid
3210010,1663699152,"Load, No Event",2,3,0,3,12,0.8333333333333334,valid
3210010,1663091079,"Load, No Event",1,14,1,1,14,0.9333333333333333,valid
3210010,1664909065,"Load, No Event",4,14,0,1,15,0.9666666666666667,valid
3210010,1665506199,"Load, Event",5,12,0,1,15,0.9642857142857143,valid
3210010,1665505660,"Load, No Event",5,7,1,0,8,0.9375,valid
3210010,1664305632,"Load, No Event",3,15,0,0,15,1.0,valid
3210010,1664306856,"Load, Event",3,10,0,1,8,0.9473684210526315,valid
3210010,1664908563,"Load, Event",4,6,0,0,12,1.0,Stutter
3210012,1663788906,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3210012,1664996433,"Load, No Event",3,15,1,0,14,0.9666666666666667,valid
3210012,1664390750,"Load, No Event",2,6,0,0,12,1.0,valid
3210012,1664391889,"Load, Event",2,4,0,0,3,1.0,valid
3210012,1663789517,"Load, Event",1,1,0,0,4,1.0,valid
3210012,1664997491,"Load, Event",3,15,0,0,15,1.0,valid
3210013,1664371550,"Load, Event",1,1,0,0,3,1.0,valid
3210013,1665590907,"Load, Event",3,8,0,1,7,0.9375,valid
3210013,1665060257,"Load, No Event",2,6,0,0,12,1.0,valid
3210013,1665589901,"Load, No Event",3,11,1,0,9,0.9523809523809523,valid
3210013,1664371002,"Load, No Event",1,13,0,2,15,0.9333333333333333,valid
3210013,1665061282,"Load, Event",2,11,0,0,11,1.0,Stutter
3210014,1665430739,"Load, Event",1,11,0,0,14,1.0,valid
3210014,1665430109,"Load, No Event",1,3,,0,,,valid
3210014,1666810444,"Load, Event",3,14,0,1,15,0.9666666666666667,valid
3210014,1666032777,"Load, Event",2,4,0,0,2,1.0,valid
3210014,1666809353,"Load, No Event",3,15,0,0,15,1.0,valid
3210016,1666222563,"Load, Event",1,4,0,0,5,1.0,valid
3210014,1666031627,"Load, No Event",2,6,0,0,12,1.0,valid
3210016,1666221952,"Load, No Event",1,15,0,0,15,1.0,valid
3210016,1667344177,"Load, Event",3,15,0,0,15,1.0,Stutter
3210016,1666738273,"Load, Event",2,7,0,0,8,1.0,valid
3210016,1666737173,"Load, No Event",2,6,0,0,12,1.0,valid
3210018,1671041777,"Load, No Event",1,15,0,0,15,1.0,valid
3210016,1667343163,"Load, No Event",3,14,0,1,15,0.9666666666666667,valid
3210018,1671042282,"Load, Event",1,9,0,0,14,1.0,valid
3210019,1675808323,"Load, Event",1,1,0,0,1,1.0,valid
3210019,1675807611,"Load, No Event",1,15,1,0,14,0.9666666666666667,valid
3210019,1676574402,"Load, No Event",2,6,0,0,12,1.0,valid
3210019,1676575545,"Load, Event",2,4,0,0,1,1.0,valid
3210019,1677184778,"Load, Event",3,15,1,0,14,0.9666666666666667,valid
3210019,1677183679,"Load, No Event",3,15,0,0,15,1.0,valid
3210019,1677781920,"Load, Event",4,6,0,0,12,1.0,Stutter
3210019,1677782445,"Load, No Event",4,14,1,1,14,0.9333333333333333,valid
3210020,1695329588,"Load, Event",4,5,0,1,12,0.9444444444444444,valid
3210020,1694119331,"Load, No Event",2,6,0,0,12,1.0,valid
3210020,1694552732,"Load, No Event",3,14,1,1,14,0.9333333333333333,valid
3210020,1694553776,"Load, Event",3,15,0,0,15,1.0,valid
3210020,1694120983,"Load, Event",2,15,0,0,14,1.0,valid
3210020,1695330134,"Load, No Event",4,12,0,3,15,0.9,valid
3210021,1694544994,"Load, Event",3,14,4,1,11,0.8333333333333334,Stutter
3210021,1694543865,"Load, No Event",3,13,4,2,11,0.8,valid
3210020,1695935003,"Load, Event",5,14,0,0,15,1.0,valid
3210021,1694116346,"Load, No Event",2,6,1,0,11,0.9444444444444444,valid
3210020,1695934506,"Load, No Event",5,15,0,0,15,1.0,valid
3210021,1695149078,"Load, Event",4,5,4,1,8,0.7222222222222222,Stutter
